category,total_revenue,total_orders,pct_of_total,cumulative_pct
bed_bath_table,1692714.28,9272,8.67,8.67
health_beauty,1620684.04,8646,8.3,16.97
computers_accessories,1549372.59,6530,7.93,24.9
furniture_decor,1394466.93,6307,7.14,32.04
watches_gifts,1387362.45,5495,7.1,39.14
sports_leisure,1349446.93,7530,6.91,46.05
housewares,1069787.97,5743,5.48,51.53
auto,833745.67,3810,4.27,55.8
garden_tools,810614.93,3448,4.15,59.95
cool_stuff,744649.32,3559,3.81,63.77
office_furniture,636124.88,1254,3.26,67.02
toys,603564.32,3804,3.09,70.11
baby,525553.22,2809,2.69,72.81
perfumery,496263.6,3086,2.54,75.35
telephony,469890.57,4093,2.41,77.75
stationery,308674.31,2264,1.58,79.33
pet_shop,307716.36,1688,1.58,80.91
computers,274671.88,177,1.41,82.32
electronics,245869.53,2517,1.26,83.57
construction_tools_construction,237873.48,736,1.22,84.79
