seller_id,total_orders,avg_review_score,avg_delivery_days
48efc9d94a9834137efd9ea76b065a38,33,5.00,10.8
02f5837340d7eb4f653d676c7256523a,30,4.83,9.6
d9bd94811c3338dceb4181f3dbc0c73e,54,4.82,7.7
42fa4ee7240e9b8eb4576358ec142ba7,21,4.81,6.8
5a93f3ab0ef4c84ed5e1b5dbf23978bc,38,4.81,15.0
b410bdd36d5db7a65dcd42b7ead933b8,42,4.81,9.1
d13e50eaa47b4cbe9eb81465865d8cfc,66,4.81,4.9
7ade73f1b9b4e965f9009a4c3a7e2c15,26,4.78,9.6
3785b653b1b82de85ab47dd139938091,21,4.76,11.6
83e197e95a1bbabc8c75e883ed016c47,46,4.74,10.5
013900e863eace745d3ec7614cab5b1a,23,4.73,11.3
d566c37fa119d5e66c4e9052e83ee4ea,64,4.72,5.7
6061155addc1e54b4cfb51c1c2a32ad8,28,4.71,5.8
5bffbafbb22daf6d3bfc216a46db8708,21,4.70,8.7
671585f5a2af58b6e276bc01003c0d2b,27,4.70,5.5
79ed755314cfe6df0daef2c6cd3022cd,22,4.70,9.0
18e694e0e48ed6f7aa3f24aade5fd697,31,4.68,6.0
376a891762bbdecbc02b4b6adec3fdda,57,4.67,12.0
6b15924333bd1a741595fe981ea04822,21,4.67,7.8
cc3d14116804f7209f3884f6367f1152,27,4.67,13.0
960945e1a9535cbc0cd6ddd35fbe7ae8,28,4.66,6.0
42ef3192a9ff87a22d1867b74b3ee205,23,4.65,9.2
d1b65fc7debc3361ea86b5f14c68d2e2,39,4.65,9.1
ac3508719a1d8f5b7614b798f70af136,100,4.64,9.4
1771297ac436903d1dd6b0e9279aa505,27,4.63,9.5
d4e12e7884759a14fa0f5f896c791cae,29,4.63,8.1
f0837c8d71434931d9e38e7b79234797,22,4.63,11.7
0bb738e4d789e63e2267697c42d35a2d,28,4.62,11.8
10076e5788b8ee532724bcd460baf762,23,4.62,9.8
33a17d60c64393351ebf1ef860f4e0f2,43,4.62,10.5
